"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"sample","sample",2.50805292070193,0.0669814368310533,5500000,1e+06,9550000,37.4439999999995,10000000,1
"lnPost","lnPost",319.033706359643,8.5202891346984,-25531.5595893452,-25580.98,-25487.72,37.4439999999995,10000000,1
"lnLAlgn","lnLAlgn",6.508557558023,0.173821107734833,-23914.83,-23914.83,-23914.83,37.4439999999995,10000000,1
"lnLSpac","lnLSpac",320.145449114774,8.54997994644744,-1094.5592008879,-1143.56,-1050.95,37.4439999999995,10000000,1
"lnLVeloc","lnLVeloc",427.705678890743,11.4225424337878,-1098.96342952275,-1149.17,-1052.14,37.4439999999995,10000000,1
"lnLRate","lnLRate",NA,NA,0,0,0,37.4439999999995,10000000,1
"lnLTime","lnLTime",901,24.062600149557,-516.14,-516.14,-516.14,37.4439999999995,10000000,1
"lnPSpac","lnPSpac",246.586702894813,6.58547972692063,-6.02309777802442,-6.364234,-5.697907,37.4439999999995,10000000,1
"lnPRate","lnPRate",NA,NA,0,0,0,37.4439999999995,10000000,1
"lnPTime","lnPTime",NA,NA,0,0,0,37.4439999999995,10000000,1
"substRate","substRate",901,24.062600149557,4e-04,4e-04,4e-04,37.4439999999995,10000000,1
"clockRate","clockRate",901,24.062600149557,4e-04,4e-04,4e-04,37.4439999999995,10000000,1
"sigSqLon","sigSqLon",238.936767331309,6.3811763521876,11.8445994339623,8.57788,15.1203,37.4439999999995,10000000,1
"sigSqLat","sigSqLat",324.052594056055,8.65432630210605,2.33467538290788,1.6936,3.06681,37.4439999999995,10000000,1
"nEff","nEff",NA,NA,100,100,100,37.4439999999995,10000000,1
"growth","growth",901,24.062600149557,1e-06,1e-06,1e-06,37.4439999999995,10000000,1
"speed","speed",137.839387744201,3.68121428651328,329.147438401776,294.269,363.842,37.4439999999995,10000000,1
"displacement","displacement",137.839387744201,3.68121428651328,329.147438401776,294.269,363.842,37.4439999999995,10000000,1
"speedfromveloc","speedfromveloc",247.52107104436,6.61043347517261,513.852478357381,456.407,578.289,37.4439999999995,10000000,1
"obsVarLon","obsVarLon",901,24.062600149557,1e-04,1e-04,1e-04,37.4439999999995,10000000,1
"obsVarLat","obsVarLat",901,24.062600149557,1e-04,1e-04,1e-04,37.4439999999995,10000000,1
"rootTime","rootTime",2.64561605051473,0.0706552732217381,1995.39,1995.39,1995.39,37.4439999999995,10000000,1
"rootLon","rootLon",267.189697311042,7.1357145954237,-70.8251301886792,-86.2812,-56.8738,37.4439999999995,10000000,1
"rootLat","rootLat",138.889235089879,3.70925208551119,39.7905215316315,32.4691,46.2077,37.4439999999995,10000000,1
"nu","nu",38.8346879200267,1.03714047430903,0.1,0.1,0.1,37.4439999999995,10000000,1
"rrNormFact","rrNormFact",NA,NA,1,1,1,37.4439999999995,10000000,1
"rrRateMult","rrRateMult",NA,NA,1,1,1,37.4439999999995,10000000,1
"rrwNormFact","rrwNormFact",NA,NA,1,1,1,37.4439999999995,10000000,1
