"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"state","state",2.50805292070193,0.476544351263901,5500,1000,9550,5.26300000000003,10000,1
"joint","joint",446.400371609049,84.8186151641737,-539.64834620442,-541.733081373274,-538.650405454709,5.26300000000003,10000,1
"prior","prior",559.772692080345,106.360002295334,-5.96343010653461,-6.27013954706555,-5.63116394259163,5.26300000000003,10000,1
"likelihood","likelihood",463.012227486045,87.9749624712221,-533.684916097886,-535.683337992973,-532.724384132088,5.26300000000003,10000,1
"location.traitLikelihood","location.traitLikelihood",463.012227486045,87.9749624712221,-533.684916097886,-535.683337992973,-532.724384132088,5.26300000000003,10000,1
"treeModel.rootHeight","treeModel.rootHeight",901,171.195135854075,12.242,12.242,12.242,5.26300000000003,10000,1
"age.root.","age.root.",901,171.195135854075,1995.388,1995.388,1995.388,5.26300000000003,10000,1
"treeLength","treeLength",901,171.195135854075,247.015454600465,247.015454600465,247.015454600465,5.26300000000003,10000,1
"location.variance.diagonal1","location.variance.diagonal1",649.711868485987,123.448958481091,2.28853726511381,1.69866421682106,2.85439559273625,5.26300000000003,10000,1
"location.variance.diagonal2","location.variance.diagonal2",564.586574934045,107.274667477492,11.2940619403514,7.88629149349136,14.1024474465896,5.26300000000003,10000,1
"location.variance.offDiagonal","location.variance.offDiagonal",NA,NA,0,0,0,5.26300000000003,10000,1
"location.sampling.variance.diagonal1","location.sampling.variance.diagonal1",901,171.195135854075,1e-04,1e-04,1e-04,5.26300000000003,10000,1
"location.sampling.variance.diagonal2","location.sampling.variance.diagonal2",901,171.195135854075,1e-04,1e-04,1e-04,5.26300000000003,10000,1
"location.DQ080061_Ccs_2004.1","location.DQ080061_Ccs_2004.1",816.128893051435,155.069141754024,-2.15038668505247,-5.7780261892804,1.34150708916001,5.26300000000003,10000,1
"location.DQ080061_Ccs_2004.2","location.DQ080061_Ccs_2004.2",901,171.195135854075,0.361876576369821,-7.84364166959535,8.6464950446544,5.26300000000003,10000,1
"location.DQ080061_Ccs_2004.3","location.DQ080061_Ccs_2004.3",762.802540532734,144.936830806143,29.9396476100277,29.9201424331482,29.9593970180976,5.26300000000003,10000,1
"location.DQ080061_Ccs_2004.4","location.DQ080061_Ccs_2004.4",740.489282820627,140.697184651458,-91.8697242682038,-91.8878228805816,-91.8501004838787,5.26300000000003,10000,1
"location.DQ164203_Ph_2003.1","location.DQ164203_Ph_2003.1",748.314928790366,142.184101993228,0.821391201291063,-1.83225135639721,3.80778089165924,5.26300000000003,10000,1
"location.DQ164203_Ph_2003.2","location.DQ164203_Ph_2003.2",753.686201747678,143.204674472292,-4.42112458865979,-11.0967379924015,1.41799032072696,5.26300000000003,10000,1
"location.DQ164203_Ph_2003.3","location.DQ164203_Ph_2003.3",901,171.195135854075,38.9997264695651,38.9802334497016,39.0192650548749,5.26300000000003,10000,1
"location.DQ164203_Ph_2003.4","location.DQ164203_Ph_2003.4",671.998448006168,127.68353562724,-105.550431891788,-105.568872318815,-105.529856171704,5.26300000000003,10000,1
"location.DQ666448_Hs_2004.1","location.DQ666448_Hs_2004.1",845.431946891295,160.636889016015,-0.0738057223488566,-2.13957167678817,1.97197964875383,5.26300000000003,10000,1
"location.DQ666448_Hs_2004.2","location.DQ666448_Hs_2004.2",901,171.195135854075,-1.9251762653322,-6.90495848732098,2.22344829458403,5.26300000000003,10000,1
"location.DQ666448_Hs_2004.3","location.DQ666448_Hs_2004.3",857.651938374132,162.958757053796,34.1694772821859,34.1494769016974,34.189101422124,5.26300000000003,10000,1
