"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"1","age.root.",901,173.734048591362,1995.388,1995.388,1995.388,5.1866,10000,5.5
"2","joint",474.428128995517,91.4333014647165,-539.566033241013,-541.637521213217,-538.529638423798,5.1866,10000,5.5
"3","likelihood",464.287144787007,89.4850829031759,-533.599190255499,-535.571208774314,-532.600138754478,5.1866,10000,5.5
"4","location.105.1",843.804156853851,162.671465933123,-0.628643118537159,-1.80108388985268,0.567015679528725,5.1866,10000,5.5
"5","location.105.2",870.182959275829,167.743799816908,-3.28830246262838,-5.86867561303428,-0.646191577947101,5.1866,10000,5.5
"6","location.105.3",862.889558469456,166.46327574298,34.75736519276,33.7659309875537,35.7018081547829,5.1866,10000,5.5
"7","location.105.4",852.322417081656,164.328937674391,-107.520862894951,-109.630760010823,-105.320154914419,5.1866,10000,5.5
"8","location.106.1",842.868193544656,162.516000919307,-0.349918954096809,-1.9511449363977,1.29005744577854,5.1866,10000,5.5
"9","location.106.2",878.238766822425,169.355709107621,-1.59597154274754,-5.33896858355945,1.96148860966446,5.1866,10000,5.5
"10","location.106.3",863.304643630031,166.532168523763,34.506157969871,33.63115326912,35.4594284563825,5.1866,10000,5.5
"11","location.106.4",857.039455050723,165.326905065738,-109.397563152659,-111.4290268026,-107.289333119601,5.1866,10000,5.5
"12","location.107.1",854.415417488744,164.715445353276,-0.300329455345981,-1.45923025243456,0.849682018726681,5.1866,10000,5.5
"13","location.107.2",822.245399868212,158.471796129345,-1.98226930676982,-4.45304693577754,0.589112132027743,5.1866,10000,5.5
"14","location.107.3",864.276618005582,166.711753187698,34.6789833106665,33.9137942552981,35.4156593536555,5.1866,10000,5.5
"15","location.107.4",867.757441218092,167.314534335743,-108.467187739687,-110.135067737146,-106.789603108032,5.1866,10000,5.5
"16","location.108.1",829.785680374385,159.974599312541,-0.449178233473862,-1.84642260751293,1.06687190524358,5.1866,10000,5.5
"17","location.108.2",897.786291946759,173.123253552861,-1.43315520713319,-4.603435647066,1.77795238768859,5.1866,10000,5.5
"18","location.108.3",880.523676251039,169.80997628283,34.4880490436678,33.6194452787499,35.3613593138173,5.1866,10000,5.5
"19","location.108.4",868.797685222042,167.488965541097,-109.18125409986,-111.080152240103,-107.237973931231,5.1866,10000,5.5
"20","location.109.1",859.44104340575,165.730122831567,-0.331887801730038,-1.45306828875635,0.808015683711952,5.1866,10000,5.5
"21","location.109.2",806.958450861227,155.605245065239,-1.74763891887528,-4.20433198318179,0.767563615154768,5.1866,10000,5.5
"22","location.109.3",863.016667654888,166.4782354577,34.6922005022723,33.925564982623,35.4601845442197,5.1866,10000,5.5
"23","location.109.4",867.1433341742,167.191615490079,-108.364349925896,-110.078774243863,-106.676579238687,5.1866,10000,5.5
"24","location.110.1",868.005023237119,167.320061710842,-0.293584377296291,-1.34493056759906,0.771332721842464,5.1866,10000,5.5
"25","location.110.2",835.204975331603,161.034506122582,-1.9079618367204,-4.23574753554627,0.420037732147179,5.1866,10000,5.5
"26","location.110.3",862.02460711545,166.28907605707,34.7078214670943,33.9147478187388,35.4802860323872,5.1866,10000,5.5
"27","location.110.4",867.842066219142,167.325702368308,-108.273031001566,-110.003831909642,-106.511169880429,5.1866,10000,5.5
"28","location.111.1",874.411151512174,168.56700393036,-0.28173897756927,-1.35109139688472,0.751640191991955,5.1866,10000,5.5
"29","location.111.2",855.169772663584,164.882260140215,-1.93647193944958,-4.28567353755037,0.381569470576859,5.1866,10000,5.5
"30","location.111.3",861.968192785107,166.278455729332,34.7101200604402,33.9165489789822,35.4855210408459,5.1866,10000,5.5
"31","location.111.4",867.788090374128,167.314918659934,-108.257659669094,-109.996601702388,-106.490932414021,5.1866,10000,5.5
"32","location.112.1",827.723849680663,159.622686301001,2.28406028002419,1.27468012325286,3.24271664168877,5.1866,10000,5.5
"33","location.112.2",832.366857084392,160.570293023568,0.278665982642413,-1.92203539213453,2.52436667062164,5.1866,10000,5.5
"34","location.112.3",851.459076888245,164.159622578207,36.5869121907812,35.8031765989486,37.3517079965617,5.1866,10000,5.5
"35","location.112.4",863.53861761329,166.522249027993,-109.076454850297,-110.794290700866,-107.313928001884,5.1866,10000,5.5
"36","location.113.1",816.41438952474,157.412817233811,-1.21917521290936,-2.6537807318303,0.237675320882666,5.1866,10000,5.5
"37","location.113.2",838.671679522296,161.731658032938,1.18016624941595,-1.93431107778936,4.56125899672196,5.1866,10000,5.5
"38","location.113.3",843.166550575534,162.578735226138,34.0900981860023,31.7103945833092,36.4266917632333,5.1866,10000,5.5
"39","location.113.4",859.24650371525,165.693732087402,-108.730350407525,-113.944159512985,-103.283502488802,5.1866,10000,5.5
"40","location.114.1",847.054975776468,163.386751793161,1.04741390862955,-0.22603252895471,2.37721236022182,5.1866,10000,5.5
"41","location.114.2",839.828030480176,161.893383578624,-1.9747618179914,-4.76777458515164,0.942769867965468,5.1866,10000,5.5
"42","location.114.3",857.337869237404,165.394062750635,34.8689018102425,34.1626260902044,35.5528908259087,5.1866,10000,5.5
"43","location.114.4",851.210307977952,164.107873762588,-108.353735584077,-109.879648254965,-106.779133770473,5.1866,10000,5.5
"44","location.115.1",865.508182239969,166.888946894808,1.04005520809479,-0.251850838787828,2.32055340461592,5.1866,10000,5.5
"45","location.115.2",845.654340343875,163.067842813971,-2.06602855453558,-4.81186618204803,0.85630797318163,5.1866,10000,5.5
"46","location.115.3",857.390547999248,165.405009325004,34.8501217752428,34.1341333104691,35.5607156434182,5.1866,10000,5.5
"47","location.115.4",851.043071970389,164.076913527494,-108.317349578673,-109.884077074382,-106.704450015376,5.1866,10000,5.5
"48","location.116.1",838.459939290177,161.549225108333,0.0350106427619913,-1.09708473670321,1.15441032961002,5.1866,10000,5.5
"49","location.116.2",831.732891036736,160.39988613196,-2.45263667141329,-4.95769972895564,0.0482365586023715,5.1866,10000,5.5
"50","location.116.3",860.342780615164,165.974651912571,34.7329536850069,33.8507911365303,35.6216381882263,5.1866,10000,5.5
"51","location.116.4",855.283647390473,164.901756479578,-107.848405144824,-109.7697472296,-105.838874760612,5.1866,10000,5.5
"52","location.117.1",864.869142884281,166.784075710948,-0.64919627609471,-1.90388714327188,0.659554370157733,5.1866,10000,5.5
"53","location.117.2",889.246451336548,171.460634923383,-1.93440241306947,-4.76973256630118,0.774818350118636,5.1866,10000,5.5
"54","location.117.3",857.088291319945,165.356251030675,34.6471629779406,33.7993026568186,35.4911933483595,5.1866,10000,5.5
"55","location.117.4",858.988524783354,165.616386404235,-108.033985553759,-109.907938484403,-106.149617301969,5.1866,10000,5.5
"56","location.118.1",825.13219299808,159.058338622265,-0.427662501741125,-1.55064442829091,0.655226896171556,5.1866,10000,5.5
"57","location.118.2",830.324757436973,160.155316733211,-2.87928212391031,-5.38373681833246,-0.492952785490401,5.1866,10000,5.5
"58","location.118.3",863.072421495294,166.496760338601,34.752912157628,33.7710525201548,35.6870341548907,5.1866,10000,5.5
"59","location.118.4",853.88176175547,164.630150556363,-107.565328584967,-109.689914565559,-105.431284604666,5.1866,10000,5.5
"60","location.119.1",834.372386024901,160.899520347195,-0.673721070939916,-1.75532796554335,0.462786793725872,5.1866,10000,5.5
"61","location.119.2",870.632549704062,167.868654924019,-3.44397737946222,-5.89308643632595,-0.982110118612444,5.1866,10000,5.5
"62","location.119.3",861.900434045604,166.270725134394,34.7879781012943,33.7675889073462,35.7654722128334,5.1866,10000,5.5
"63","location.119.4",853.509732638312,164.557367663901,-107.362653050658,-109.58079821945,-105.133842065623,5.1866,10000,5.5
"64","location.120.1",852.224553418581,164.388384171908,-1.49960459783759,-2.86214503634846,-0.161393792181678,5.1866,10000,5.5
"65","location.120.2",839.999863978825,161.97747854904,-5.50381306881914,-8.47745339925787,-2.54180350234409,5.1866,10000,5.5
"66","location.120.3",851.546087070777,164.20897704043,34.4106011731232,33.6495689352326,35.1600934809115,5.1866,10000,5.5
"67","location.120.4",864.991244430313,166.796881723943,-108.814848282518,-110.508013495234,-107.104812831817,5.1866,10000,5.5
"68","location.121.1",847.54472465134,163.427580473349,-0.90404178236524,-2.0491271666135,0.27506699988731,5.1866,10000,5.5
"69","location.121.2",833.125504363943,160.597723762147,-3.97121245621669,-6.55305518626867,-1.42775814281066,5.1866,10000,5.5
"70","location.121.3",860.911814353256,166.078785883582,34.8226379182885,33.7673796048511,35.8257622703485,5.1866,10000,5.5
"71","location.121.4",853.637127558469,164.58095483183,-107.1993835926,-109.468854304446,-104.873160071655,5.1866,10000,5.5
"72","location.122.1",871.787702770219,168.11243796397,-1.55222806343908,-2.87577181262291,-0.298697097326294,5.1866,10000,5.5
"73","location.122.2",842.069355261542,162.424551432392,-4.80976446295402,-7.66696610344551,-1.92091194557448,5.1866,10000,5.5
"74","location.122.3",857.584605768096,165.432733956584,35.0500053161424,33.8433670278427,36.1936271301513,5.1866,10000,5.5
"75","location.122.4",864.129745449015,166.59725578248,-106.371745693377,-108.920346780565,-103.714516881001,5.1866,10000,5.5
"76","location.123.1",855.077273572209,164.97487207264,-1.60452720175028,-3.81136580255341,0.637193965013634,5.1866,10000,5.5
"77","location.123.2",884.010931263427,170.455571413328,-12.5342042566248,-17.5147007082228,-7.72598293215777,5.1866,10000,5.5
"78","location.123.3",846.210119104586,163.226137832337,30.308561703154,30.2937472008485,30.3231653878726,5.1866,10000,5.5
"79","location.123.4",882.767376618373,170.219391815041,-114.872740480602,-114.900802100195,-114.843892819136,5.1866,10000,5.5
"80","location.124.1",839.813646027721,162.017910185428,-1.60211131025521,-3.78546273731691,0.655551426503574,5.1866,10000,5.5
"81","location.124.2",883.268054384247,170.31221423865,-12.5330023829147,-17.4666018618141,-7.60736815761168,5.1866,10000,5.5
"82","location.124.3",859.139546885905,165.719414517773,30.3099906302299,30.2940423407863,30.3262110002767,5.1866,10000,5.5
"83","location.124.4",865.9626909406,166.96896620026,-114.862348619463,-114.893933099166,-114.830593983997,5.1866,10000,5.5
"84","location.125.1",859.678490195841,165.850155456436,-1.60205663438358,-3.80774961255045,0.603414051944524,5.1866,10000,5.5
"85","location.125.2",885.001770660803,170.646779324825,-12.5385601882031,-17.4677624084606,-7.67316889299073,5.1866,10000,5.5
"86","location.125.3",856.143569525616,165.160102969129,30.322103382878,30.2915284488942,30.3541620182491,5.1866,10000,5.5
"87","location.125.4",883.974142979063,170.448472168951,-114.767378647035,-114.835581051635,-114.700628830857,5.1866,10000,5.5
"88","location.126.1",860.376291633564,165.982570272333,-1.60378097990224,-3.79352020167275,0.621348320074094,5.1866,10000,5.5
"89","location.126.2",885.082129720319,170.662286669386,-12.5369100633086,-17.5573648610167,-7.81651490086996,5.1866,10000,5.5
"90","location.126.3",861.933615024906,166.28486015668,30.3337513947105,30.287940717746,30.3817716444445,5.1866,10000,5.5
"91","location.126.4",884.44192989585,170.538743669681,-114.67665399133,-114.778536927306,-114.573803917762,5.1866,10000,5.5
"92","location.127.1",861.276800059112,166.157000208348,-1.60258706110367,-3.74456760821105,0.643304943240613,5.1866,10000,5.5
"93","location.127.2",886.223887061459,170.882618074469,-12.5366405608941,-17.4561403588484,-7.73889893953793,5.1866,10000,5.5
"94","location.127.3",861.303251025068,166.163290268481,30.3430819519476,30.2830829747201,30.4024956829054,5.1866,10000,5.5
"95","location.127.4",884.735896527486,170.595472081807,-114.603778594028,-114.73489608484,-114.473894747244,5.1866,10000,5.5
"96","location.128.1",844.473277854374,162.875469353579,-2.65553385631317,-4.25403715279396,-1.0914360892583,5.1866,10000,5.5
