"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"1","accSigsq",177.048652170138,5.29072043894839,0.261179808657048,0.1801982,0.3455449,33.4693,1e+07,5.5
"2","accVeloc",859.245843127648,25.6782645137716,0.514439127524972,0.4594201,0.5681156,33.4693,1e+07,5.5
"3","AF196835_Pc_1999.71_VelocLat",457.142069638912,13.6670143812992,-0.206610648295194,-2.072314,1.648804,33.4693,1e+07,5.5
"4","AF196835_Pc_1999.71_VelocLon",504.780501881238,15.0808573257988,-0.351262152605993,-4.521195,3.776662,33.4693,1e+07,5.5
"5","AF202541_Hs_1999.66_VelocLat",562.376248020159,16.8021725418573,2.27285921569478,0.24254,4.12919,33.4693,1e+07,5.5
"6","AF202541_Hs_1999.66_VelocLon",543.066429888939,16.2321212532298,-2.01474237506504,-6.407255,2.304019,33.4693,1e+07,5.5
"7","AF260967_Ec_1999_VelocLat",215.852995446468,6.45511413166189,0.544159776900333,-2.17949,3.257379,33.4693,1e+07,5.5
"8","AF260967_Ec_1999_VelocLon",264.82424798796,7.91201467330779,-0.0534472779911542,-5.96142,5.849391,33.4693,1e+07,5.5
"9","AF404753_Cb_2000_VelocLat",647.834563395381,19.3501456178591,-0.650086080885372,-3.004763,1.579661,33.4693,1e+07,5.5
"10","AF404753_Cb_2000_VelocLon",642.805166877139,19.1992131811295,-1.73284274238801,-6.697166,3.19447,33.4693,1e+07,5.5
"11","AF404754_Cp_2000_VelocLat",659.423861204703,19.7074907807699,0.0901904912666371,-1.727779,1.76758,33.4693,1e+07,5.5
"12","AF404754_Cp_2000_VelocLon",700.702221089879,20.9402467011774,-0.31990068810778,-4.278287,3.538442,33.4693,1e+07,5.5
"13","AF404755_Bu_2000_VelocLat",437.179890612945,13.0648806280469,2.31847096494606,-0.6197713,5.274242,33.4693,1e+07,5.5
"14","AF404755_Bu_2000_VelocLon",513.328341213044,15.3385215111656,-0.661213750180244,-7.141529,5.940935,33.4693,1e+07,5.5
"15","AF404756_Cb_2000_VelocLat",640.170114668675,19.1324185521316,0.464902025928746,-1.335005,2.179043,33.4693,1e+07,5.5
"16","AF404756_Cb_2000_VelocLon",687.910061583231,20.5529931277278,-0.190680081665039,-4.005465,3.624573,33.4693,1e+07,5.5
"17","AF533540_Hs_2001.71_VelocLat",848.654703209631,25.3576824831285,-0.0463709492282575,-3.014068,2.825684,33.4693,1e+07,5.5
"18","AF533540_Hs_2001.71_VelocLon",792.05253752057,23.6684911073851,0.259148426650167,-6.279098,6.487095,33.4693,1e+07,5.5
"19","anc_VelocLat",437.233304393937,13.0655023934668,-0.552836116572808,-2.380919,1.099941,33.4693,1e+07,5.5
"20","anc_VelocLat.1",448.701580421837,13.4099800777052,-0.63708029430162,-2.372137,1.1083754,33.4693,1e+07,5.5
"21","anc_VelocLat.10",233.141225310931,6.96664635301935,-0.824695695651276,-2.010773,0.381299,33.4693,1e+07,5.5
"22","anc_VelocLat.100",422.974778648258,12.6430123800754,-3.87860443895671,-5.449167,-2.365874,33.4693,1e+07,5.5
"23","anc_VelocLat.101",529.704982992296,15.8289813971295,-2.29728929130966,-3.774936,-0.8207413,33.4693,1e+07,5.5
"24","anc_VelocLat.102",589.925815198577,17.6314182304524,-0.133825449072031,-3.435495,3.298179,33.4693,1e+07,5.5
"25","anc_VelocLat.11",230.123948431014,6.87428546584235,-0.595446497799667,-1.737138,0.5587905,33.4693,1e+07,5.5
"26","anc_VelocLat.12",260.431160910336,7.77933704161256,-0.559104816192897,-1.758927,0.6686987,33.4693,1e+07,5.5
"27","anc_VelocLat.13",254.304839307509,7.59759855610254,-0.350379612124195,-1.503878,0.805326,33.4693,1e+07,5.5
"28","anc_VelocLat.14",251.590830213994,7.51544093103817,0.108481129182453,-1.0958004,1.239405,33.4693,1e+07,5.5
"29","anc_VelocLat.15",367.230926864313,10.9706453846394,-0.221134876724195,-1.313566,0.8584537,33.4693,1e+07,5.5
"30","anc_VelocLat.16",464.74932972801,13.8815942784822,-0.256685874864373,-1.417805,0.9240079,33.4693,1e+07,5.5
"31","anc_VelocLat.17",754.347875873584,22.5377983861027,-0.303750253253962,-1.973234,1.369999,33.4693,1e+07,5.5
"32","anc_VelocLat.18",377.531958810667,11.2795773539841,-0.230980659644073,-1.345373,0.8239306,33.4693,1e+07,5.5
"33","anc_VelocLat.19",448.67248030505,13.4081239625621,-0.278640279853951,-1.46207,0.8635666,33.4693,1e+07,5.5
"34","anc_VelocLat.2",213.248790948583,6.3775413202522,-0.92826874944727,-2.370752,0.6219848,33.4693,1e+07,5.5
"35","anc_VelocLat.20",745.403274966437,22.2751542183206,-0.410332455498002,-1.860201,1.07756,33.4693,1e+07,5.5
"36","anc_VelocLat.21",224.443293247882,6.70527767243238,1.12543193459301,-0.18236581,2.429056,33.4693,1e+07,5.5
"37","anc_VelocLat.22",245.96455280591,7.34947950814773,1.12565601039478,-0.22564798,2.432743,33.4693,1e+07,5.5
"38","anc_VelocLat.23",821.271897871077,24.5370529972775,2.28768213829079,1.315363,3.302798,33.4693,1e+07,5.5
"39","anc_VelocLat.24",846.074282971144,25.278180171269,-1.2370161546212,-2.675311,0.2768642,33.4693,1e+07,5.5
"40","anc_VelocLat.25",381.094707431906,11.3844272553642,-0.571486992389079,-1.863704,0.759236,33.4693,1e+07,5.5
"41","anc_VelocLat.26",292.114655821445,8.73047043671944,-1.41273057941731,-2.821088,-0.043578359,33.4693,1e+07,5.5
"42","anc_VelocLat.27",204.293702711251,6.10981056421273,-3.27043883695893,-4.799379,-1.761822,33.4693,1e+07,5.5
"43","anc_VelocLat.28",195.693298632603,5.85067233203544,-2.63905868642242,-4.250121,-0.9919006,33.4693,1e+07,5.5
"44","anc_VelocLat.29",320.351065435867,9.57436754526715,-1.91947087009767,-4.506852,0.570989,33.4693,1e+07,5.5
"45","anc_VelocLat.3",154.177048633619,4.60906302789255,-0.954941357597358,-2.374795,0.5131121,33.4693,1e+07,5.5
"46","anc_VelocLat.30",319.56379261812,9.55075186230793,-1.92090415661842,-4.467486,0.6164294,33.4693,1e+07,5.5
"47","anc_VelocLat.31",319.56379261812,9.55075186230793,-1.92090415661842,-4.467486,0.6164294,33.4693,1e+07,5.5
"48","anc_VelocLat.32",319.56379261812,9.55075186230793,-1.92090415661842,-4.467486,0.6164294,33.4693,1e+07,5.5
"49","anc_VelocLat.33",319.56379261812,9.55075186230793,-1.92090415661842,-4.467486,0.6164294,33.4693,1e+07,5.5
"50","anc_VelocLat.34",329.683398766689,9.85188624611151,-0.191926303509323,-3.164712,2.767118,33.4693,1e+07,5.5
"51","anc_VelocLat.35",161.577530663569,4.8306259268062,-0.516657800442475,-2.009556,0.9900029,33.4693,1e+07,5.5
"52","anc_VelocLat.36",182.544852727837,5.45795861026297,-1.64553553158069,-3.314085,0.09543117,33.4693,1e+07,5.5
"53","anc_VelocLat.37",134.733728962085,4.02761367914579,-2.20190096486016,-3.896591,-0.5902731,33.4693,1e+07,5.5
"54","anc_VelocLat.38",191.632294137876,5.72940389328516,-2.59733194451165,-5.414014,0.14443066,33.4693,1e+07,5.5
"55","anc_VelocLat.39",183.080684358464,5.47405105745709,-0.000406066722752506,-1.535755,1.596073,33.4693,1e+07,5.5
"56","anc_VelocLat.4",150.090418435313,4.48658772948975,-0.838396424463041,-2.294558,0.5788849,33.4693,1e+07,5.5
"57","anc_VelocLat.40",181.121073470806,5.41406667224256,1.08932544354051,-0.5044727,2.686928,33.4693,1e+07,5.5
"58","anc_VelocLat.41",161.413803768936,4.82467554708693,1.98446409652164,0.4290687,3.557194,33.4693,1e+07,5.5
"59","anc_VelocLat.42",148.416726278719,4.43599092479912,2.517402166303,0.917251,4.138331,33.4693,1e+07,5.5
"60","anc_VelocLat.43",156.455932501711,4.67825299907273,-1.24535237156563,-2.831417,0.3406305,33.4693,1e+07,5.5
"61","anc_VelocLat.44",375.019606902893,11.2046520358068,-2.83625036884562,-6.168673,0.6123242,33.4693,1e+07,5.5
"62","anc_VelocLat.45",305.042492593837,9.11742970310142,-1.48223019624173,-3.379211,0.3374222,33.4693,1e+07,5.5
"63","anc_VelocLat.46",199.480286595396,5.96482584180283,-0.952546914099911,-2.495501,0.5277093,33.4693,1e+07,5.5
"64","anc_VelocLat.47",158.892914986247,4.74959997282831,-1.30588033882242,-2.961486,0.3520872,33.4693,1e+07,5.5
"65","anc_VelocLat.48",142.761462683014,4.26769658880581,-0.93100043172656,-2.524766,0.6953935,33.4693,1e+07,5.5
"66","anc_VelocLat.49",147.013496523302,4.39410195277053,-1.01451082024621,-2.666764,0.6445463,33.4693,1e+07,5.5
"67","anc_VelocLat.5",189.638553315911,5.66741357810403,-0.623002159173141,-2.222692,0.9584925,33.4693,1e+07,5.5
"68","anc_VelocLat.50",195.67679798281,5.85133426351541,-0.5088522130201,-2.102128,1.0115668,33.4693,1e+07,5.5
"69","anc_VelocLat.51",211.191413965309,6.3130287717354,-1.45245564350677,-2.791744,-0.20233751,33.4693,1e+07,5.5
"70","anc_VelocLat.52",213.137097246483,6.36946722328451,-1.20712884117425,-2.519873,0.145897011,33.4693,1e+07,5.5
"71","anc_VelocLat.53",203.72748992026,6.08884897907414,-0.712768085549134,-2.098501,0.6069332,33.4693,1e+07,5.5
"72","anc_VelocLat.54",217.894428259944,6.51397053501781,-0.684830073219867,-2.079737,0.6973381,33.4693,1e+07,5.5
"73","anc_VelocLat.55",243.209922728526,7.27200656910834,-0.199211642978202,-1.512843,1.156691,33.4693,1e+07,5.5
"74","anc_VelocLat.56",529.613399441443,15.8243230460393,-0.197131329777259,-1.357214,0.9176198,33.4693,1e+07,5.5
"75","anc_VelocLat.57",835.766936684835,24.9694261042085,-0.17112270407869,-1.1073103,0.7274314,33.4693,1e+07,5.5
"76","anc_VelocLat.58",859.964556253757,25.691463001041,-0.216478164826039,-1.122529,0.7225349,33.4693,1e+07,5.5
"77","anc_VelocLat.59",821.751350886398,24.5516020952512,-0.157678566261476,-1.165697,0.8010293,33.4693,1e+07,5.5
"78","anc_VelocLat.6",179.954534525915,5.37923891665418,-0.768869707388013,-2.29074,0.8773164,33.4693,1e+07,5.5
"79","anc_VelocLat.60",822.260946575156,24.5661741519004,-0.199484474316304,-1.160313,0.7315219,33.4693,1e+07,5.5
"80","anc_VelocLat.61",824.120624667667,24.6220782344499,-0.200477834573707,-1.219385,0.7855634,33.4693,1e+07,5.5
"81","anc_VelocLat.62",804.771647693118,24.044447777759,-0.343552954999529,-1.557414,0.8391735,33.4693,1e+07,5.5
"82","anc_VelocLat.63",862.253758562061,25.7615477711456,-0.288882805050078,-1.262513,0.6686936,33.4693,1e+07,5.5
"83","anc_VelocLat.64",220.727519562058,6.59521624199723,-1.7180608745505,-3.04299,-0.3980067,33.4693,1e+07,5.5
"84","anc_VelocLat.65",239.357771174142,7.15391889347094,-1.41263482644283,-2.733096,-0.124312905,33.4693,1e+07,5.5
"85","anc_VelocLat.66",362.831790927742,10.8441410643381,0.146246914440855,-1.0999616,1.377514,33.4693,1e+07,5.5
"86","anc_VelocLat.67",403.717490729407,12.0595928358882,-2.89002759935347,-5.757653,0.014224165,33.4693,1e+07,5.5
"87","anc_VelocLat.68",200.368088484712,5.99120886790911,-0.942422272072142,-2.532016,0.5194899,33.4693,1e+07,5.5
"88","anc_VelocLat.69",226.644176580304,6.77622949896576,-0.890580225142952,-2.519278,0.6857933,33.4693,1e+07,5.5
"89","anc_VelocLat.7",167.416887320543,5.00375859450868,-1.02455762028224,-2.601104,0.5158376,33.4693,1e+07,5.5
"90","anc_VelocLat.70",240.728214326983,7.1947672449305,0.336533027999778,-1.271212,1.914947,33.4693,1e+07,5.5
"91","anc_VelocLat.71",229.874954651877,6.87097222794631,0.160003329063818,-1.573823,1.785969,33.4693,1e+07,5.5
"92","anc_VelocLat.72",273.913129092009,8.18635605620311,-1.57510168259523,-3.29185,0.18145456,33.4693,1e+07,5.5
"93","anc_VelocLat.73",54.5140085258745,1.62951783422941,0.798652947166115,-0.852031,2.352252,33.4693,1e+07,5.5
"94","anc_VelocLat.74",54.5096208186712,1.62939167323193,0.795588433036049,-0.8360923,2.374876,33.4693,1e+07,5.5
"95","anc_VelocLat.75",54.5293637470411,1.62997743956305,0.792727061370033,-0.8284933,2.387013,33.4693,1e+07,5.5
"96","anc_VelocLat.76",165.165843148159,4.93707710453225,-0.748415435610211,-2.66214,1.1049207,33.4693,1e+07,5.5
"97","anc_VelocLat.77",719.830314568143,21.5073937621842,0.257930702992353,-2.0455,2.477077,33.4693,1e+07,5.5
"98","anc_VelocLat.78",84.6232674115159,2.53033265183156,0.996743812343951,-0.7615813,2.680897,33.4693,1e+07,5.5
"99","anc_VelocLat.79",107.007379345618,3.19918274153912,0.743452366688235,-1.0263874,2.595851,33.4693,1e+07,5.5
"100","anc_VelocLat.8",173.463610799123,5.18623885576118,-1.29450437301341,-2.906222,0.2607882358,33.4693,1e+07,5.5
"101","anc_VelocLat.80",104.622247312087,3.12715776283726,1.37724505885594,-0.4484176,3.161454,33.4693,1e+07,5.5
"102","anc_VelocLat.81",65.9778160467677,1.97239194318933,0.910591145986459,-0.8011911,2.543873,33.4693,1e+07,5.5
"103","anc_VelocLat.82",333.230484785804,9.96023323019739,0.0497791610628191,-2.49635,2.65057,33.4693,1e+07,5.5
"104","anc_VelocLat.83",157.173425129705,4.69799198875312,0.333765590840733,-1.443819,2.193016,33.4693,1e+07,5.5
"105","anc_VelocLat.84",157.033673549985,4.69388518657975,0.326859447113319,-1.426736,2.175275,33.4693,1e+07,5.5
"106","anc_VelocLat.85",166.67584693178,4.98200921488156,0.368860286065971,-1.43457,2.144405,33.4693,1e+07,5.5
"107","anc_VelocLat.86",166.203675238654,4.96969755533895,0.653632727237625,-1.2260751,2.406931,33.4693,1e+07,5.5
"108","anc_VelocLat.87",262.669820218068,7.85194012315403,0.301639061810988,-0.9405172,1.469754,33.4693,1e+07,5.5
"109","anc_VelocLat.88",315.121511334334,9.41989523009218,0.28183602368768,-0.9101751,1.449819,33.4693,1e+07,5.5
"110","anc_VelocLat.89",364.50469521378,10.8982839278892,0.265472297281909,-0.8763723,1.413121,33.4693,1e+07,5.5
"111","anc_VelocLat.9",225.676932856229,6.74717656383771,-1.46070420902442,-2.839122,-0.1957352,33.4693,1e+07,5.5
"112","anc_VelocLat.90",400.91392659284,11.9825251173027,0.333419832045139,-0.8187872,1.488448,33.4693,1e+07,5.5
"113","anc_VelocLat.91",374.340507900733,11.1910690056862,-0.229128891281576,-1.722042,1.284177,33.4693,1e+07,5.5
"114","anc_VelocLat.92",173.567886284382,5.18894920433914,0.712403400765483,-1.2563485,2.503361,33.4693,1e+07,5.5
"115","anc_VelocLat.93",320.659265721095,9.58745820332884,-0.660669115204906,-2.254854,0.8928224,33.4693,1e+07,5.5
"116","anc_VelocLat.94",420.84221750887,12.5770965489973,-0.399270289916637,-1.729981,0.9248329,33.4693,1e+07,5.5
"117","anc_VelocLat.95",838.620820506973,25.0528567701069,0.810300276434184,-0.4747345,2.081951,33.4693,1e+07,5.5
"118","anc_VelocLat.96",331.863702680752,9.92510823188523,-0.309010294835716,-2.347911,1.700627,33.4693,1e+07,5.5
"119","anc_VelocLat.97",452.337211084902,13.522366813373,-1.72787531668446,-3.522898,0.04429024,33.4693,1e+07,5.5
"120","anc_VelocLat.98",419.156132357073,12.530548466194,-1.94825968433973,-3.686488,-0.3437317,33.4693,1e+07,5.5
"121","anc_VelocLat.99",451.17261065479,13.4835398020586,-3.63595265948946,-5.168641,-2.150885,33.4693,1e+07,5.5
"122","anc_VelocLon",469.530608541575,14.0288531680826,-3.43458888077913,-7.310987,0.3579866,33.4693,1e+07,5.5
"123","anc_VelocLon.1",494.441665608406,14.7705988433092,-3.4922506524606,-7.28296,0.38968069,33.4693,1e+07,5.5
"124","anc_VelocLon.10",298.869131735387,8.93275397282019,-3.85253234066593,-6.458256,-1.241247,33.4693,1e+07,5.5
"125","anc_VelocLon.100",493.769182672058,14.7578439966939,-2.28600508387081,-5.681183,1.1435597,33.4693,1e+07,5.5
"126","anc_VelocLon.101",619.092493150801,18.4912707548356,-1.40429483704917,-4.781501,1.728418,33.4693,1e+07,5.5
"127","anc_VelocLon.102",596.522907789887,17.8149529159221,-3.80238597228269,-11.00766,3.67959,33.4693,1e+07,5.5
"128","anc_VelocLon.11",316.740073384985,9.46607660744231,-3.33807863323196,-5.805425,-0.7661743,33.4693,1e+07,5.5
"129","anc_VelocLon.12",351.098000249506,10.4925444338712,-3.19081086604417,-5.835274,-0.4785795,33.4693,1e+07,5.5
"130","anc_VelocLon.13",305.569266080631,9.1293571377299,-2.78211018887569,-5.24677,-0.19562524,33.4693,1e+07,5.5
"131","anc_VelocLon.14",322.335311788613,9.63081981862541,-2.3542497547182,-4.969009,0.1276587,33.4693,1e+07,5.5
"132","anc_VelocLon.15",370.722390325486,11.0766484134045,-1.85504547526115,-4.284914,0.5000207,33.4693,1e+07,5.5
"133","anc_VelocLon.16",499.182002970038,14.9179244451146,-1.91007154870488,-4.501674,0.6691834,33.4693,1e+07,5.5
"134","anc_VelocLon.17",805.49349762418,24.0720200973498,-1.5510892493505,-5.312168,2.079968,33.4693,1e+07,5.5
"135","anc_VelocLon.18",370.402396982242,11.0666114928505,-1.83213600974263,-4.237974,0.560013,33.4693,1e+07,5.5
"136","anc_VelocLon.19",439.931817556171,13.1457145124734,-1.69254980902198,-4.219085,0.9221451,33.4693,1e+07,5.5
"137","anc_VelocLon.2",244.937559384404,7.31940368824277,-3.8693717749545,-7.143524,-0.5542544,33.4693,1e+07,5.5
"138","anc_VelocLon.20",750.749490256345,22.4300913957084,-1.38515595150055,-4.648159,1.855351,33.4693,1e+07,5.5
"139","anc_VelocLon.21",307.607345291855,9.19178294321997,-1.95516353607703,-4.83908,1.0633402,33.4693,1e+07,5.5
"140","anc_VelocLon.22",322.131955700859,9.62622220858652,-1.87960214164595,-4.765763,1.215745,33.4693,1e+07,5.5
"141","anc_VelocLon.23",855.920285547762,25.5726778785373,0.281207172621754,-1.917017,2.519051,33.4693,1e+07,5.5
"142","anc_VelocLon.24",876.872595401292,26.2014050398095,1.12913267656482,-2.24483,4.44465,33.4693,1e+07,5.5
"143","anc_VelocLon.25",468.285945322488,13.9932646759789,-1.84097512261176,-4.804171,1.0077482,33.4693,1e+07,5.5
"144","anc_VelocLon.26",286.941426354117,8.57459136689847,-5.38636572133185,-8.493058,-2.351698,33.4693,1e+07,5.5
"145","anc_VelocLon.27",265.413248142696,7.93307568232008,-4.66008769207547,-7.952446,-1.414648,33.4693,1e+07,5.5
"146","anc_VelocLon.28",237.674133048199,7.10399730989764,-8.3209511354051,-12.03341,-4.68498,33.4693,1e+07,5.5
"147","anc_VelocLon.29",312.205106477295,9.33378684046692,-10.8753214154273,-16.65775,-5.373174,33.4693,1e+07,5.5
"148","anc_VelocLon.3",182.537874701932,5.45498894199878,-2.64575389936482,-5.885919,0.5909687,33.4693,1e+07,5.5
"149","anc_VelocLon.30",313.286979434811,9.3659602727635,-10.8720777302997,-16.66359,-5.375943,33.4693,1e+07,5.5
"150","anc_VelocLon.31",313.286979434811,9.3659602727635,-10.8720777302997,-16.66359,-5.375943,33.4693,1e+07,5.5
"151","anc_VelocLon.32",313.286979434811,9.3659602727635,-10.8720777302997,-16.66359,-5.375943,33.4693,1e+07,5.5
"152","anc_VelocLon.33",313.286979434811,9.3659602727635,-10.8720777302997,-16.66359,-5.375943,33.4693,1e+07,5.5
"153","anc_VelocLon.34",327.626546310386,9.78978456947177,-1.46471246129356,-8.048867,5.182866,33.4693,1e+07,5.5
"154","anc_VelocLon.35",196.371913471741,5.86826625361228,-0.313952688300056,-3.637437,2.909975,33.4693,1e+07,5.5
"155","anc_VelocLon.36",214.346718515031,6.40330111552401,1.34340819634007,-2.234722,4.954325,33.4693,1e+07,5.5
"156","anc_VelocLon.37",181.509206024613,5.42392448954685,1.93913475298002,-1.6584547,5.499367,33.4693,1e+07,5.5
"157","anc_VelocLon.38",205.82867837996,6.15323403507856,6.02738170369367,0.00441680000000004,12.11211,33.4693,1e+07,5.5
"158","anc_VelocLon.39",206.51116470118,6.16973460815967,0.334743915702664,-3.237402,3.696196,33.4693,1e+07,5.5
"159","anc_VelocLon.4",167.559517866728,5.007478145608,-2.44153502757381,-5.640892,0.7380632,33.4693,1e+07,5.5
"160","anc_VelocLon.40",223.926779608615,6.69141352056893,2.19435491908701,-1.274713,5.742313,33.4693,1e+07,5.5
"161","anc_VelocLon.41",196.476610673475,5.86951421901501,4.10462988241953,0.6567394,7.468597,33.4693,1e+07,5.5
"162","anc_VelocLon.42",184.881903252143,5.52519631282967,5.7175227523596,2.210324,9.255111,33.4693,1e+07,5.5
"163","anc_VelocLon.43",222.908994445825,6.66283415921514,-2.75157233835472,-6.270022,0.7782042,33.4693,1e+07,5.5
"164","anc_VelocLon.44",404.040563824698,12.0729441938054,-3.81528635048158,-11.57406,3.826321,33.4693,1e+07,5.5
"165","anc_VelocLon.45",342.284446157113,10.2279549020128,-2.48447255507359,-6.758094,1.577397,33.4693,1e+07,5.5
"166","anc_VelocLon.46",247.011286669543,7.38165682163539,-3.94103299591787,-7.268036,-0.5390085,33.4693,1e+07,5.5
"167","anc_VelocLon.47",195.677921067388,5.84752186436227,-4.57373520988535,-8.251299,-0.978623,33.4693,1e+07,5.5
"168","anc_VelocLon.48",192.593076050484,5.75669580498689,-5.26296815734739,-8.860052,-1.837725,33.4693,1e+07,5.5
"169","anc_VelocLon.49",176.261999615278,5.26747281038691,-5.8306884327414,-9.412893,-2.220341,33.4693,1e+07,5.5
"170","anc_VelocLon.5",218.784498997391,6.538126585979,-4.50894030962153,-8.041203,-1.0734524,33.4693,1e+07,5.5
"171","anc_VelocLon.50",210.80137080148,6.30149602523493,-9.55798986903441,-12.81772,-6.009562,33.4693,1e+07,5.5
"172","anc_VelocLon.51",265.689952061005,7.94307349092251,-7.25702290233074,-10.065974,-4.320112,33.4693,1e+07,5.5
"173","anc_VelocLon.52",271.301161186365,8.108362355608,-7.25023246237514,-10.170051,-4.284778,33.4693,1e+07,5.5
"174","anc_VelocLon.53",270.012462039015,8.06590643270938,-8.15744994561598,-11.12166,-5.183347,33.4693,1e+07,5.5
"175","anc_VelocLon.54",276.891604794831,8.27181819998367,-8.50637071698113,-11.64868,-5.498146,33.4693,1e+07,5.5
"176","anc_VelocLon.55",280.044429306477,8.3651253295135,-7.76640695005549,-10.70828,-4.789587,33.4693,1e+07,5.5
"177","anc_VelocLon.56",568.053267975224,16.974438882602,-2.59952536494706,-5.133698,-0.05499762,33.4693,1e+07,5.5
"178","anc_VelocLon.57",833.989777715131,24.9184205895166,-0.742334015218757,-2.729911,1.244526,33.4693,1e+07,5.5
