"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"1","age.root.",439.705051408955,0.116029838459651,1997.24201298833,1996.4264416472,1997.95411269032,3789.586,5e+07,1
"2","branchRates",4501,1.18772868593034,-1097.54249077065,-1097.54249077065,-1097.54249077065,3789.586,5e+07,1
"3","coalescent",240.637149776748,0.0634995880227413,-476.412544807415,-495.028954890122,-456.706393178321,3789.586,5e+07,1
"4","coefficientOfVariation",681.078341822619,0.179723680059674,0.0225058408354179,2.77139790492741e-06,0.0930730175994418,3789.586,5e+07,1
"5","constant.popSize",434.76686861013,0.114726745509966,28.8135180888642,22.7946630264834,34.8726293741068,3789.586,5e+07,1
"6","covariance",4038.77957724064,1.06575746723801,-0.00616608037238935,-0.145097252559724,0.12895174127954,3789.586,5e+07,1
"7","joint",620.85231646002,0.163831172180819,-25817.2118876482,-25847.4383568248,-25789.3825992986,3789.586,5e+07,1
"8","kappa",4389.33572216387,1.15826259706571,17.2733449524056,14.0153166882282,20.61087669999,3789.586,5e+07,1
"9","likelihood",697.389089680288,0.184027777620111,-24207.7768277846,-24240.8159870828,-24180.1979718273,3789.586,5e+07,1
"10","location.105.1",1138.5559779698,0.300443367156676,-0.497746712454946,-2.63475445783449,1.99338115153353,3789.586,5e+07,1
"11","location.105.2",213.387271177814,0.0563088609620718,-4.36859381783835,-10.0008208174346,0.478156370864414,3789.586,5e+07,1
"12","location.105.3",547.772263262117,0.144546729711931,35.0018989141559,33.516913256223,36.5276727523063,3789.586,5e+07,1
"13","location.105.4",216.164637718955,0.0570417554104736,-105.57802163862,-110.224908381734,-99.3279052294177,3789.586,5e+07,1
"14","location.106.1",986.367588206114,0.260283732367101,-0.464802101951045,-2.72645153780205,2.10100829692005,3789.586,5e+07,1
"15","location.106.2",145.5345154166,0.0384038033222099,-4.34955892956196,-9.94169595223424,0.409807335621272,3789.586,5e+07,1
"16","location.106.3",250.731792230391,0.0661633730519353,35.0447442673129,33.5157608591302,36.6192330102206,3789.586,5e+07,1
"17","location.106.4",298.990093688799,0.0788978251684481,-105.476683619132,-110.407619831086,-99.3660903124105,3789.586,5e+07,1
"18","location.107.1",41.5129989713968,0.0109544944939623,-0.405313046746522,-3.04625679570654,2.15881296127521,3789.586,5e+07,1
"19","location.107.2",32.3767958820197,0.00854362346758186,-1.19072637460005,-7.89937732621704,5.16675868265462,3789.586,5e+07,1
"20","location.107.3",28.0325119525747,0.00739724918568273,39.1822521531788,36.0352720528554,41.8033204301213,3789.586,5e+07,1
"21","location.107.4",55.4409996764184,0.0146298301915878,-82.9980741583744,-89.8443054646316,-76.7455738499184,3789.586,5e+07,1
"22","location.108.1",1053.61443382447,0.278028901791506,-0.540207140440283,-2.59118286508946,1.73367179716573,3789.586,5e+07,1
"23","location.108.2",143.193421558792,0.037786032975315,-3.76696172440905,-8.99614677312771,1.01336736023745,3789.586,5e+07,1
"24","location.108.3",396.617873421047,0.104659947925986,34.9100002827081,33.4135923317976,36.4417680221088,3789.586,5e+07,1
"25","location.108.4",168.801001470138,0.0445433885047437,-106.097828393428,-110.259023715245,-100.043982477787,3789.586,5e+07,1
"26","location.109.1",878.319211202092,0.231771811274923,-0.482732982379314,-2.80108883328115,1.80768108205421,3789.586,5e+07,1
"27","location.109.2",132.35999289291,0.0349272962515983,-4.25906918116535,-10.1070487226328,0.301015168410741,3789.586,5e+07,1
"28","location.109.3",414.909118689839,0.109486661257942,34.9880297681826,33.4920759502027,36.5151604267437,3789.586,5e+07,1
"29","location.109.4",261.243521432171,0.0689372193775707,-105.71322670228,-110.330826765437,-99.673028706226,3789.586,5e+07,1
"30","location.110.1",1587.91043408991,0.419019500834632,-0.483432202274516,-2.59652133522359,1.88171613644239,3789.586,5e+07,1
"31","location.110.2",132.539791286801,0.0349747416437575,-4.20330083514577,-9.72476594976954,0.500490898351942,3789.586,5e+07,1
"32","location.110.3",508.697201141379,0.134235560597221,34.9948942378836,33.5862227077323,36.5610189760002,3789.586,5e+07,1
"33","location.110.4",182.961242899324,0.0482800081326361,-105.656500573403,-110.301308190397,-99.5310642740356,3789.586,5e+07,1
"34","location.111.1",1225.4960574434,0.323385208158199,-0.448190890545023,-2.60839296233982,1.89214074678321,3789.586,5e+07,1
"35","location.111.2",235.998954776884,0.0622756561737572,-4.15911961528508,-9.53318454208682,0.633896995933451,3789.586,5e+07,1
"36","location.111.3",342.844179475439,0.0904700881509059,35.0015215884555,33.4923495933813,36.4704945966334,3789.586,5e+07,1
"37","location.111.4",240.681155355438,0.0635112002618329,-105.667448195693,-110.469353584811,-99.4678754452136,3789.586,5e+07,1
"38","location.112.1",1269.07999314673,0.334886183648222,-0.494727735645799,-2.80423195705829,1.94804628668092,3789.586,5e+07,1
"39","location.112.2",183.540485292631,0.0484328592338665,-4.4594205909189,-9.93613279080274,0.622012517422397,3789.586,5e+07,1
"40","location.112.3",331.824109629087,0.0875621003532013,35.0515046739555,33.4929500202966,36.6269399202663,3789.586,5e+07,1
"41","location.112.4",252.574124893508,0.0666495297622243,-105.365524393202,-110.446455634524,-99.2394531009165,3789.586,5e+07,1
"42","location.113.1",1170.74934875189,0.308938588213037,-0.471009930447387,-2.85231968942878,2.00054416815907,3789.586,5e+07,1
"43","location.113.2",450.411010624761,0.118854938408776,-4.79571719126697,-10.1373331835891,0.105799138593115,3789.586,5e+07,1
"44","location.113.3",1292.09281803427,0.340958832451425,35.0897357191773,33.6284259211674,36.6689598494735,3789.586,5e+07,1
"45","location.113.4",612.334481652872,0.161583476837014,-105.124011625713,-110.137403354557,-99.1661067847697,3789.586,5e+07,1
"46","location.114.1",1248.62850091834,0.32948942204197,-0.545570929536377,-2.73079351433941,1.75738457450216,3789.586,5e+07,1
"47","location.114.2",133.425084043832,0.0352083536417519,-4.41175641994567,-10.1591583114895,0.152156761347246,3789.586,5e+07,1
