"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"1","accMoveRootTime",2036.36538025629,0.198466273293435,0.116158065327301,0.0181818,0.254545,10260.511,5e+07,1
"2","accMoveScaleTime",12.5954684093327,0.0012275673608588,0.0217597598780029,9.90099e-09,0.0990099,10260.511,5e+07,1
"3","accNarrowExchange",3475.30839509898,0.338707145784355,0.167554330937252,0.0761905,0.247619,10260.511,5e+07,1
"4","accNodeTimes",1258.42889962817,0.122647780371579,0.672297274161297,0.588235,0.754902,10260.511,5e+07,1
"5","accNodeVeloc",1302.47590940336,0.126940647439816,0.324870405465452,0.270531,0.391304,10260.511,5e+07,1
"6","accRatesShrink",118.73417244147,0.0115719550850313,0.23324433028216,0.138614,0.306931,10260.511,5e+07,1
"7","accScaleVeloc",1701.49957970812,0.165829906493753,0.0895690870934615,0.0436893,0.145631,10260.511,5e+07,1
"8","accSigsq",345.653728611889,0.0336877694114736,0.246315146634081,0.168317,0.336634,10260.511,5e+07,1
"9","accWideExchange",4320.34265218609,0.421065057304269,0.00153194399763057,9.52381e-09,0.00952382,10260.511,5e+07,1
"10","AF196835_Pc_1999.71_VelocLat",1733.0357499846,0.168903454222172,0.252909610263719,-2.11181,2.80567,10260.511,5e+07,1
"11","AF196835_Pc_1999.71_VelocLon",1081.39110550689,0.105393494096628,0.266729025672073,-4.70822,4.62032,10260.511,5e+07,1
"12","AF202541_Hs_1999.66_VelocLat",1015.99567154258,0.0990199875564272,2.77519687676294,0.0497176,5.26617,10260.511,5e+07,1
"13","AF202541_Hs_1999.66_VelocLon",2271.03003463444,0.221336932891007,-2.43083921240613,-6.96875,2.64468,10260.511,5e+07,1
"14","AF260967_Ec_1999_VelocLat",407.785842280434,0.0397432293850116,0.795332563553655,-2.66288,4.08777,10260.511,5e+07,1
"15","AF260967_Ec_1999_VelocLon",329.977120157001,0.0321599109593081,-0.538872639835592,-6.88213,6.02645,10260.511,5e+07,1
"16","AF404753_Cb_2000_VelocLat",1112.10357138669,0.108386762743755,-0.926756354185959,-3.74493,1.77591,10260.511,5e+07,1
"17","AF404753_Cb_2000_VelocLon",1958.8688553035,0.190913381926446,-2.40948702633526,-7.79044,2.87362,10260.511,5e+07,1
"18","AF404754_Cp_2000_VelocLat",3091.77153886604,0.301327247625975,0.474280349006665,-1.61676,2.73355,10260.511,5e+07,1
"19","AF404754_Cp_2000_VelocLon",3040.67303649614,0.296347134806068,-0.0576570141033104,-4.45514,3.97314,10260.511,5e+07,1
"20","AF404755_Bu_2000_VelocLat",540.322179167988,0.0526603576730231,3.04292402109531,-0.46703,6.87148,10260.511,5e+07,1
"21","AF404755_Bu_2000_VelocLon",826.848122939745,0.0805854721017057,-1.00092130099756,-8.14748,5.42278,10260.511,5e+07,1
"22","AF404756_Cb_2000_VelocLat",1768.00478506897,0.172311572500529,0.680122508420351,-1.88982,3.37099,10260.511,5e+07,1
"23","AF404756_Cb_2000_VelocLon",2264.23937670037,0.220675108354776,0.146212663590091,-4.8616,4.88813,10260.511,5e+07,1
"24","AF533540_Hs_2001.71_VelocLat",3608.43920315509,0.351682211846475,-0.0687934387293934,-3.95604,3.57625,10260.511,5e+07,1
"25","AF533540_Hs_2001.71_VelocLon",3555.77150297207,0.346549163386899,0.411123431046434,-6.34211,7.39699,10260.511,5e+07,1
"26","anc_VelocLat",27.7300692964458,0.00270260119563692,-0.330569149224395,-2.62316,2.14439,10260.511,5e+07,1
"27","anc_VelocLat.1",98.5392544063272,0.0096037375142746,-4.4054484731393,-8.60416,-1.00148,10260.511,5e+07,1
"28","anc_VelocLat.10",68.8552279849082,0.00671070163902249,0.282257747968674,-2.4991,2.91719,10260.511,5e+07,1
"29","anc_VelocLat.100",816.661809857083,0.0795927035073675,-2.70101558680738,-4.88597,-0.579725,10260.511,5e+07,1
"30","anc_VelocLat.101",15.2747216965591,0.00148869015359557,-0.71214645055521,-3.37597,2.52981,10260.511,5e+07,1
"31","anc_VelocLat.102",938.211351865591,0.0914390474183587,-0.132173602617196,-3.24446,3.0479,10260.511,5e+07,1
"32","anc_VelocLat.11",6.29639839183175,0.000613653490730798,-0.396327505381915,-2.91231,2.23196,10260.511,5e+07,1
"33","anc_VelocLat.12",644.90650241968,0.062853253840835,-2.13369065309953,-4.33833,-0.0703756,10260.511,5e+07,1
"34","anc_VelocLat.13",77.6427638760499,0.00756714396349752,0.165677968497001,-3.00553,2.7966,10260.511,5e+07,1
"35","anc_VelocLat.14",451.135849781748,0.0439681658917132,-2.08289875636725,-4.19665,0.0352064,10260.511,5e+07,1
"36","anc_VelocLat.15",20.9318272241596,0.00204003750146164,-1.04664251921417,-4.0538,2.13815,10260.511,5e+07,1
"37","anc_VelocLat.16",100.214778834491,0.00976703585566945,-0.870390376570984,-2.91228,1.03172,10260.511,5e+07,1
"38","anc_VelocLat.17",143.219498726027,0.0139583202752793,0.278512176918018,-2.14153,2.59927,10260.511,5e+07,1
"39","anc_VelocLat.18",31.4018731226545,0.00306045898909464,-0.70945331125201,-2.90219,1.52744,10260.511,5e+07,1
"40","anc_VelocLat.19",43.9190278059736,0.004280393813327,-1.44605087810353,-4.11515,1.13617,10260.511,5e+07,1
"41","anc_VelocLat.2",1007.15955304765,0.0981588103212065,-0.276051415821262,-2.03849,1.46258,10260.511,5e+07,1
"42","anc_VelocLat.20",32.617751953222,0.00317895979578619,-3.34597568355921,-5.63018,-1.31378,10260.511,5e+07,1
"43","anc_VelocLat.21",372.557494440539,0.0363098382176617,-2.2369869481182,-4.14745,-0.279406,10260.511,5e+07,1
"44","anc_VelocLat.22",328.14327875295,0.0319811828819198,-1.50016686760053,-3.44745,0.622046,10260.511,5e+07,1
"45","anc_VelocLat.23",64.4840658706318,0.00628468366445217,-5.07647623389736,-9.24225,-1.28437,10260.511,5e+07,1
"46","anc_VelocLat.24",100.735751971086,0.00981781043566796,0.239375747586981,-2.15735,2.69795,10260.511,5e+07,1
