
Name	VeloLon	VeloLat
vwacs	0.331332	0.153622
qhpai	-1.313805	-0.924540
xxhbl	-0.055100	0.129746
mmmxl	-0.775267	-0.111186
mnfcl	0.075032	0.044232
cwmbl	-0.060930	-0.021605
wjlbl	0.065923	-0.035278
ypdsq	-0.352443	-0.031846
bwkoi	0.086476	-0.112272
kmehy	-0.235381	-0.040467
jmyhh	0.158951	0.270065
uatvj	0.007111	-0.060443
wbawj	-0.028771	-0.442089
mgypy	-0.100044	-0.018040
wvfux	0.003171	-0.106300
uuign	0.559978	-0.356905
bhmjh	0.050209	-0.043498
nvsja	0.025742	-0.007646
otsyj	-1.387757	3.278731
ebrok	-0.111894	2.547146
gtnjl	-0.016427	-0.122074
cmqkp	0.046630	0.075283
iyngi	0.013730	-0.026067
abwkl	-0.035278	0.061726
fvhck	0.053968	-0.189334
kupsl	-0.268223	-0.101654
hxvme	-0.008539	0.389521
qnlqj	-0.286551	2.855110
xyrve	4.472224	-2.140336
xupfv	0.242813	-0.746495
takhm	0.002049	-0.035877
wrisj	-1.072701	0.622721
tvrko	3.154751	4.473993
nnhef	0.058676	-0.034243
dnooh	1.647069	0.390172
xacat	-0.083385	0.085904
iewxt	-0.128083	0.632815
ftltq	-0.112300	-0.460349
khibg	-0.127836	-0.005328
fhlpm	0.038767	-0.039002
nqkth	0.285562	-0.235127
ubcht	0.380460	-0.009131
mwdlr	-0.195503	-0.026772
ofmoa	-0.044635	0.078341
lhndh	-0.036994	-0.046831
udysj	1.656360	2.556986
wlkcs	-0.251885	-0.106276
xvxek	0.047720	0.057426
vssyr	-0.128114	-0.518720
gjyav	-1.120902	3.205133
