Name	Lat	Lon
cwufp	9.104599	0.810323
vvhco	8.390419	0.994728
lwast	4.701296	7.764902
sstlw	8.230028	4.687822
nlyrb	8.289477	2.076414
xkbgp	8.681756	1.232741
bgxyy	7.474311	4.264739
wgjyy	3.011786	0.752842
atjnd	8.270725	9.088372
nuedn	2.667383	6.079173
ggxdn	5.991496	0.697685
hmmox	7.273665	9.066298
xfvun	8.444870	8.485062
jnjbg	0.235845	2.928556
hpeca	9.220280	3.845970
viiuh	1.649686	5.244937
downj	1.010617	6.276612
htfqg	8.364803	5.435138
dgujw	4.636702	7.240711
rgxmo	1.316993	9.052854
ymddv	6.066713	4.696023
kextu	0.771071	3.239767
uildt	4.696628	9.385655
tbsgp	9.257496	6.231288
gvjsb	5.830991	0.739325
gipln	1.664123	1.473890
pinvl	3.079005	8.923251
fvsgc	3.219422	8.831036
pmjnd	6.130638	8.822284
ubnxr	9.705304	7.631922
jyaka	2.245380	7.052552
pjdos	5.728245	8.104702
qlrvy	9.076952	4.615879
pdute	1.032607	6.329567
tmohc	8.317772	5.032922
inhej	0.348745	6.787669
abytk	8.824397	1.354128
oftqr	5.084110	1.642475
ecnau	3.680150	8.630552
qfifh	6.654298	2.274448
laacg	6.114080	8.792534
mouiw	7.957183	9.346579
frlve	6.044525	6.369135
erckd	6.356303	0.337143
nimbu	4.793378	0.379294
fkpru	1.854481	2.308672
onwht	2.609603	8.262784
jgeeq	5.985876	9.589813
fqaxl	7.169901	4.612196
bqcba	7.597725	4.533087
