Name	Lat	Lon
mipsk	4.661669	0.156760
tnfac	2.950786	8.670373
prjdb	7.328902	3.866087
aoope	5.850952	6.853445
eoiua	0.315180	6.942364
fccmx	2.709254	7.225127
hqsge	1.317495	4.435730
qmgji	5.102068	3.135902
utexo	4.486836	0.463169
hvffv	8.093573	0.246807
qqxih	0.179520	8.674968
ufnkh	9.303045	7.190415
eflwl	5.085598	6.279234
tisjp	5.297276	3.642845
rvonr	6.610913	1.323652
otkae	7.777666	9.606579
cdrbs	1.705822	9.235539
syflr	1.070663	9.752548
ddyly	9.139795	4.626592
vmhjk	3.801413	2.528934
vrpgw	0.702361	0.348111
onijk	5.242915	4.579356
isdyi	7.092761	7.668060
icbeq	4.081334	8.037965
dqejx	9.591226	4.985993
bqaec	9.184095	9.735776
vtoow	4.223422	7.080634
lqtag	8.517231	3.056376
ekqox	9.356071	9.096172
srair	9.773838	7.484963
rhtsc	5.676687	8.900796
qxlda	6.489118	8.080353
qoijl	3.012544	2.612186
gegra	9.397117	1.834319
pdbnq	5.685732	7.350847
mxsvr	0.732758	0.092862
ejlhg	9.562909	5.457819
csmqn	9.948270	3.818644
wmcyw	6.545231	0.576935
jiyxt	3.013764	5.698995
oiiwp	6.087550	2.329154
wlcwi	8.199698	3.452026
mxmen	6.964403	2.329801
rjuud	5.808325	0.723854
jpkdn	0.887941	0.523644
uqgkv	7.004602	3.632237
xjjvr	6.653881	6.341206
tecxd	6.686835	1.778229
eruff	7.362948	5.632615
vlihq	6.063371	9.060276
