
Name	VeloLon	VeloLat
ntajh	0.036996	-0.031405
bvuaf	0.023264	0.014127
twydi	-0.222938	0.097955
ollti	0.141820	-0.178479
lovml	0.245264	0.543431
jqrdi	-0.001306	-0.004704
wcodi	-0.003029	0.010290
dbjkx	-0.016601	-0.086501
jwfrf	0.177902	0.014731
frpcw	0.200060	-0.106908
codcv	0.241337	0.092820
ndntc	0.042823	-0.037566
wgdwi	0.118358	0.046580
oywbw	-0.037789	-0.038039
tnvqw	0.035389	0.050031
nqyso	0.018687	0.005706
gylcy	-0.010049	-0.067402
uneid	-0.044945	0.068467
xneai	-0.099418	-0.078703
pdexf	0.015202	-0.052350
vkufl	0.007313	0.045735
moxix	-0.011911	-0.023106
fwryf	-0.152415	-0.154059
dgtfl	0.057997	-0.001848
ptvgf	-0.081164	0.096290
fqbho	-0.019212	0.019090
yaqlm	-0.124882	-0.019198
xrlef	0.046549	-0.090047
adhqs	0.098895	-0.040523
tnbvq	-0.018479	-0.082738
kgiyr	-0.190140	0.320189
wefkf	-0.086981	-0.140081
nqbir	0.082136	-0.033900
uoysp	0.022192	0.097125
mrruv	-0.161396	-0.106030
tgjdk	-0.006900	0.009454
yptan	-0.035104	0.010554
shonb	-0.026589	-0.071705
iyfgs	-0.029171	0.082837
scouo	-0.049840	0.036365
oxlny	-0.048429	-0.058131
qgjvh	0.140035	-0.107824
rtjie	-0.022272	0.043861
rslra	0.025440	-0.200528
lyrjv	-0.661867	-0.081193
njwhi	0.453669	-0.098805
toijh	0.475467	0.061258
aqwsi	0.008235	-0.001848
qehab	-0.043421	0.029809
viagt	-0.120623	-0.025330
