Name	Lat	Lon
lnbqv	1.770357	7.202461
tyrcf	1.654198	4.389341
gujaq	5.124733	2.104190
wqrgt	5.657473	1.388449
ondjb	1.074055	5.156844
melnj	8.265256	1.637310
xubdv	3.168401	4.162145
fayin	5.757617	1.323006
ntywt	4.541059	8.263494
gcbpm	1.411668	1.578593
xhdpt	1.478681	5.911315
ssthj	8.056037	2.191828
upcul	8.460433	7.808560
nyiuf	1.198986	4.499982
bylqx	6.785900	1.359361
hapwm	3.972898	0.627951
nxuyv	8.593493	2.501255
sgfop	6.741287	0.844692
ptrlr	9.934847	0.809183
onwch	3.826340	4.967206
eqruv	5.285324	9.304771
cfpsl	8.087964	0.436014
lhwln	3.258948	4.416211
almym	6.363193	3.147282
eomeq	7.574851	6.191324
vwjot	5.152141	0.516758
yjdtc	8.392354	2.028821
teset	2.040736	0.295832
qrldg	4.195378	8.657952
pjhce	9.664184	1.720097
qlvtk	4.186596	5.943606
mituh	3.271721	4.119312
bbnrf	8.715596	7.818095
bibtc	0.013901	3.026716
jubtf	3.896996	3.642167
awvhn	4.118337	6.804553
hxsuu	2.381290	6.891913
sgwbm	4.165613	2.336774
alekw	3.961101	1.462722
ruovl	0.838619	4.219720
nocmp	8.129998	4.670562
eyjrb	5.811673	0.883311
mlesg	5.492599	6.792735
nsdtd	4.685089	4.105116
nruqx	3.136640	2.292684
nwlup	6.764409	7.514533
iqvvw	0.183035	9.415731
kyyem	3.565300	6.276764
xtaae	3.054074	1.999944
goeks	0.518338	9.816774
