Name	Lat	Lon
gwudw	3.438159	6.712289
flrcd	0.074474	5.146075
nypri	7.095437	1.680079
dghnl	3.873166	3.012666
bxqmp	0.093332	6.306306
snlfe	1.285880	8.631599
bwjun	1.050789	1.790388
unddi	7.325328	0.610301
vtvyr	6.703142	6.794592
dfwso	0.481311	9.704319
wqvsg	9.619699	9.394277
jmppo	4.578072	8.284916
bbsub	5.940979	3.654188
whkih	9.995060	0.035699
hqvey	4.828875	6.967622
bnaoq	8.568883	8.899183
yhkec	4.114898	7.220451
qxmed	3.770682	9.082749
ljchn	3.312166	3.848594
nfdue	0.689656	7.574266
ppmqh	3.762060	1.043837
fohjf	6.441847	8.940706
jjxti	7.556048	8.128015
qasvb	9.981072	4.502290
bwcqq	5.395027	1.876325
skwsy	0.792119	4.213173
fhrjh	9.250667	3.146858
oihms	1.014093	5.964837
okrrv	1.614453	3.863367
tdups	4.715585	4.109878
pvpak	4.260076	4.829789
prrsg	1.342376	9.101050
tpaik	6.667291	1.315325
ypkmy	8.787284	7.155280
nvasr	9.422966	7.880611
knfem	4.406347	1.783448
rwcsn	2.935174	7.469681
glftx	7.813734	1.468901
trcvl	6.109912	5.422509
lutpu	5.608218	9.288130
xjmfv	8.110101	7.323027
rkpbd	3.493560	6.462396
prikm	6.182507	6.263235
pmpvd	4.274106	9.395149
yxyxn	0.207563	4.900946
hhqvl	0.626999	8.507207
oymfb	8.216244	7.974547
ihgwd	6.591020	0.418075
jxevt	3.198858	5.265258
reaxb	6.867572	3.212166
