
Name	VeloLon	VeloLat
iragu	0.060311	0.043213
dxvbh	0.019136	-0.012116
sehhs	-0.003383	0.034151
ecbsv	-0.002796	0.004147
ydltc	0.529804	-0.736085
yfpvk	-0.002817	0.006703
xhakw	-0.001298	-0.058334
rdtfb	0.007000	0.011082
rtstx	-0.003836	0.025072
xjdlg	0.027484	0.018560
koslq	0.026762	-0.038266
fqbaw	-0.019006	-0.002720
xuasu	-0.008461	0.006810
unbyu	-0.033326	0.020088
dwsch	0.016160	-0.017461
ulvnc	0.034832	-0.032476
qtelq	0.093769	-0.030272
hcfxl	-0.021838	-0.007292
kvqcd	0.006512	0.005189
qspwd	0.002906	-0.005372
twcfu	0.006325	0.004914
lnclo	0.022207	0.007025
nylyo	-0.007412	0.006504
ysnso	-0.002310	-0.016038
oilql	-0.003391	-0.006792
pllpp	0.034352	0.059173
wsafg	0.031599	-0.028658
hsrog	0.023856	0.011848
agdwf	-0.001683	-0.010373
yykjy	0.164110	0.022439
whnpq	-0.009117	-0.022599
oyxtt	-0.011110	-0.045257
gvfmd	0.021983	0.005733
naavk	0.524499	-0.270926
fkvre	0.007427	-0.014452
mthgt	0.017737	0.021757
lyvcb	0.000983	-0.006262
anugu	0.113215	-0.349636
siinn	-0.026855	0.035624
aplyt	0.043017	-0.005043
ddsqn	0.018025	0.009478
qevnh	0.197249	0.463507
toxtv	0.020389	0.004133
kclqd	0.112687	-0.021692
oojmy	0.084589	-0.080075
brgsc	-0.040663	0.023076
lookv	0.810715	-0.743695
usief	-0.002503	-0.000884
qsyoy	0.001621	0.001975
uxtik	0.003534	0.000620
